,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
762,1,1,2,-1,1,7,0
763,0,2,1,-1,0,4,0
764,0,2,1,-1,0,12,0
765,0,3,2,-1,1,4,1
766,0,1,3,-1,2,7,0
767,1,1,3,-1,2,8,0
768,0,2,3,-1,2,9,0
769,0,2,1,-1,0,6,0
770,0,0,3,-1,2,1,0
771,2,1,1,-2,-1,10,0
772,3,1,2,-1,1,5,0
773,0,1,1,-1,0,8,0
774,1,1,2,-1,1,8,0
775,0,0,1,-1,0,0,0
776,0,2,2,-2,0,10,0
777,0,2,1,-1,0,5,0
778,2,2,2,-3,-1,13,1
779,0,3,1,-4,-3,7,1
780,0,1,1,-1,0,6,1
781,1,2,1,-2,-1,9,0
782,1,0,1,-1,0,4,0
783,0,1,1,-1,0,7,1
784,0,0,1,-1,0,2,0
785,0,0,1,-1,0,2,0
786,1,0,1,-3,-2,6,1
787,0,1,1,-1,0,6,1
788,0,1,1,-1,0,2,0
789,1,0,2,-1,1,1,0
790,1,1,1,-1,0,11,0
791,3,3,1,-4,-3,12,0
792,1,2,1,-1,0,8,1
793,0,1,1,-4,-3,11,1
794,0,1,1,-1,0,1,1
795,1,0,2,-1,1,4,0
796,0,1,1,-3,-2,7,1
797,2,3,2,-2,0,6,0
798,1,1,1,-1,0,7,1
