,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
483,2,3,1,-1,0,9,1
484,1,3,1,-1,0,5,1
485,0,0,1,-1,0,4,0
486,0,2,4,-1,3,11,0
487,0,1,1,-1,0,10,0
488,1,1,2,-2,0,10,0
489,1,1,1,-1,0,6,1
490,1,2,1,-1,0,4,0
491,0,2,2,-2,0,11,0
492,0,1,1,-1,0,2,1
493,0,2,1,-2,-1,11,1
494,0,1,1,-3,-2,5,1
495,1,1,1,-1,0,5,1
496,0,3,1,-1,0,4,0
497,1,4,2,-1,1,5,1
498,0,2,1,-1,0,10,1
499,1,2,1,-2,-1,14,0
500,0,1,2,-1,1,7,0
501,0,0,1,-1,0,1,1
502,1,1,1,-2,-1,9,1
503,0,2,1,-1,0,10,0
504,0,2,2,-4,-2,4,0
505,0,1,1,-2,-1,9,0
506,1,2,1,-3,-2,14,1
507,1,1,1,-1,0,3,1
508,0,1,2,-1,1,3,1
509,0,1,1,-1,0,4,0
510,1,4,3,-1,2,14,1
511,0,2,1,-1,0,3,1
512,1,0,1,-1,0,1,1
513,0,2,1,-2,-1,8,1
514,1,0,3,-1,2,6,1
515,2,4,1,-3,-2,6,1
516,0,1,1,-1,0,2,0
517,0,1,2,-1,1,11,1
518,2,0,1,-1,0,8,1
519,3,3,1,-1,0,6,1
520,1,2,1,-1,0,5,1
521,0,3,1,-1,0,8,1
522,1,1,1,-1,0,9,0
523,0,1,1,-1,0,1,1
524,1,2,2,-1,1,7,1
525,1,1,2,-1,1,7,1
526,2,0,1,-4,-3,13,1
527,0,0,3,-1,2,1,1
528,1,1,1,-2,-1,4,1
529,1,1,2,-1,1,9,1
530,1,0,1,-1,0,3,1
531,1,2,1,-1,0,6,1
532,0,1,1,-1,0,4,0
533,0,3,1,-1,0,6,1
534,0,3,1,-1,0,7,1
535,0,1,1,-1,0,2,1
536,1,1,1,-1,0,9,1
537,1,2,2,-1,1,8,1
538,0,1,1,-1,0,2,1
539,0,2,1,-1,0,9,1
540,0,1,2,-3,-1,4,1
541,0,3,1,-1,0,2,1
542,1,1,1,-1,0,2,1
543,3,0,1,-3,-2,7,0
544,1,0,1,-1,0,3,1
545,1,0,3,-1,2,7,1
546,2,2,1,-1,0,9,1
547,0,0,2,-1,1,11,1
548,0,2,2,-1,1,4,1
549,0,0,1,-2,-1,1,1
550,0,0,1,-1,0,1,1
551,0,0,1,-1,0,1,1
552,0,1,1,-1,0,0,1
553,0,1,1,-1,0,7,0
554,1,4,1,-1,0,5,1
555,0,0,1,-1,0,3,1
556,1,4,1,-1,0,10,0
557,4,0,2,-1,1,5,1
558,0,0,2,-1,1,3,0
559,2,1,2,-1,1,12,1
560,0,1,1,-1,0,4,1
561,0,1,1,-1,0,1,1
562,0,1,1,-1,0,1,1
563,0,0,1,-1,0,3,1
564,0,0,1,-1,0,2,1
565,0,3,1,-3,-2,7,0
566,3,3,1,-1,0,9,1
567,1,1,1,-1,0,7,1
568,0,1,1,-1,0,5,0
569,0,2,2,-1,1,2,1
570,0,3,3,-1,2,7,1
571,1,2,2,-1,1,9,0
572,1,1,1,-2,-1,4,0
573,0,1,2,-1,1,6,0
574,0,1,1,-1,0,4,1
575,0,0,2,-1,1,5,1
576,1,1,1,-2,-1,3,1
577,1,4,1,-1,0,13,0
578,0,0,1,-1,0,7,0
579,1,2,1,-1,0,9,0
580,0,2,1,-1,0,4,1
581,1,4,2,-1,1,8,1
582,0,1,1,-3,-2,1,1
583,1,1,1,-2,-1,3,1
584,1,2,1,-1,0,7,1
585,0,0,1,-4,-3,12,0
586,2,2,1,-1,0,7,1
587,3,2,1,-1,0,10,0
588,0,2,2,-1,1,7,1
589,0,1,1,-1,0,1,1
590,0,1,3,-1,2,2,1
591,0,3,1,-1,0,11,1
592,1,0,1,-1,0,13,1
593,1,1,2,-1,1,5,0
594,0,2,2,-2,0,9,1
595,0,1,1,-1,0,2,1
596,0,1,4,-1,3,7,1
597,0,0,1,-2,-1,1,1
598,0,5,1,-3,-2,13,1
599,1,1,1,-1,0,4,1
600,0,1,1,-4,-3,10,1
601,1,3,2,-1,1,9,1
602,0,0,2,-1,1,1,1
603,1,3,1,-1,0,5,0
604,1,3,1,-1,0,6,1
605,0,1,2,-1,1,4,1
606,0,2,1,-1,0,1,1
607,1,3,2,-1,1,14,1
608,1,1,3,-1,2,6,1
609,0,2,2,-1,1,8,0
610,0,4,3,-1,2,13,1
611,0,2,3,-1,2,5,1
612,0,0,1,-1,0,2,1
613,0,0,3,-1,2,2,1
614,0,1,1,-1,0,8,0
615,2,0,1,-1,0,6,1
616,1,2,1,-1,0,6,0
617,0,0,1,-1,0,3,1
618,1,0,2,-1,1,3,1
619,0,3,1,-1,0,10,1
620,0,0,1,-1,0,1,1
621,1,4,3,-3,0,11,1
622,2,0,1,-1,0,10,1
623,3,2,1,-1,0,10,1
624,2,1,1,-1,0,6,1
625,0,1,1,-1,0,3,1
626,0,1,3,-1,2,10,1
627,0,1,1,-1,0,5,1
628,1,2,2,-2,0,11,1
629,0,1,4,-1,3,4,1
630,0,0,2,-1,1,2,1
631,0,3,2,-1,1,4,1
632,0,0,2,-1,1,11,0
633,0,3,2,-1,1,8,0
634,0,0,2,-1,1,16,1
635,0,2,4,-1,3,13,0
636,0,0,1,-3,-2,3,1
637,0,1,1,-1,0,7,1
638,1,0,1,-1,0,9,0
639,0,1,2,-1,1,2,1
640,0,1,1,-1,0,2,1
641,3,0,2,-1,1,6,0
642,2,2,1,-1,0,11,1
643,1,2,1,-1,0,11,0
644,0,0,2,-2,0,7,1
645,1,2,2,-2,0,8,0
646,0,2,2,-1,1,12,0
647,2,1,2,-1,1,7,1
648,1,0,1,-1,0,8,1
649,0,1,2,-1,1,1,1
650,0,0,1,-1,0,1,1
651,2,2,1,-1,0,9,1
652,1,1,2,-1,1,3,0
653,0,2,1,-1,0,11,0
654,3,3,1,-3,-2,10,1
655,0,0,3,-1,2,7,1
656,1,5,1,-2,-1,11,0
657,0,2,2,-2,0,6,1
658,0,2,1,-1,0,5,0
659,0,0,2,-1,1,4,1
660,2,1,2,-1,1,4,1
661,0,5,3,-1,2,11,1
662,0,4,1,-3,-2,12,1
663,1,1,1,-1,0,2,1
664,0,4,2,-2,0,13,1
665,0,0,2,-1,1,3,1
666,0,2,1,-1,0,6,0
667,0,3,1,-1,0,7,1
668,0,5,2,-2,0,10,1
669,0,2,1,-4,-3,5,1
670,1,2,1,-1,0,10,1
671,0,1,2,-1,1,3,1
672,1,0,2,-2,0,8,0
673,2,1,1,-1,0,5,1
674,0,1,1,-1,0,4,1
675,0,5,2,-1,1,12,0
676,1,1,3,-1,2,2,1
677,2,3,3,-1,2,10,0
678,2,4,1,-4,-3,8,1
679,0,0,1,-1,0,0,1
680,2,0,1,-1,0,8,1
681,2,2,1,-2,-1,7,1
682,3,2,2,-1,1,10,1
683,1,3,2,-1,1,11,0
684,0,0,1,-1,0,0,1
685,1,4,1,-1,0,6,0
686,1,1,1,-1,0,3,1
687,0,5,1,-1,0,13,0
688,2,3,2,-2,0,10,0
689,0,1,2,-1,1,7,1
690,0,2,2,-1,1,4,1
691,0,0,1,-1,0,6,0
692,2,0,1,-1,0,7,0
693,2,3,1,-1,0,8,1
694,0,1,1,-1,0,4,0
695,0,1,1,-1,0,2,1
696,2,0,2,-1,1,7,0
697,0,2,1,-1,0,10,0
698,1,0,2,-1,1,10,1
699,4,1,1,-1,0,10,1
700,3,1,1,-3,-2,6,1
701,0,2,3,-1,2,11,1
702,0,1,3,-3,0,9,0
703,2,0,1,-1,0,8,1
704,1,0,1,-1,0,2,1
705,1,1,2,-1,1,6,0
706,0,2,1,-2,-1,11,0
707,0,3,1,-1,0,5,1
708,2,1,3,-1,2,3,1
709,2,3,1,-1,0,8,0
710,0,1,2,-1,1,6,1
711,0,0,1,-1,0,2,0
712,0,1,2,-1,1,5,0
713,2,1,1,-1,0,8,0
714,1,1,1,-1,0,10,1
715,0,1,2,-1,1,3,1
716,0,1,1,-1,0,2,1
717,0,3,1,-4,-3,10,1
718,1,1,2,-2,0,13,0
719,0,2,1,-1,0,3,0
720,1,2,2,-1,1,8,1
721,0,2,1,-1,0,3,1
722,0,3,3,-1,2,8,1
723,2,0,3,-1,2,9,0
724,1,1,2,-1,1,10,1
725,0,2,1,-4,-3,4,1
726,1,1,1,-1,0,6,1
727,0,2,2,-1,1,10,1
728,1,4,1,-1,0,11,1
729,4,1,2,-1,1,7,1
730,0,1,1,-1,0,3,1
731,0,3,1,-1,0,11,0
732,0,0,2,-3,-1,7,1
733,1,2,3,-1,2,8,1
734,0,0,1,-1,0,8,1
735,0,3,1,-2,-1,5,1
736,2,3,4,-1,3,8,1
737,1,1,1,-1,0,7,1
738,0,0,1,-1,0,2,1
739,0,2,1,-1,0,15,0
740,0,0,2,-1,1,14,1
741,1,1,2,-2,0,4,1
742,1,0,2,-1,1,7,1
743,2,1,2,-1,1,13,1
744,1,1,1,-2,-1,9,0
745,1,1,1,-3,-2,15,1
746,0,1,2,-1,1,2,0
747,0,2,1,-1,0,7,1
748,2,1,1,-1,0,8,1
749,0,0,1,-2,-1,5,1
750,0,1,2,-1,1,11,0
751,0,4,1,-1,0,9,1
752,0,1,1,-4,-3,2,1
753,0,0,1,-1,0,4,1
754,0,0,1,-1,0,16,1
755,3,0,1,-1,0,14,1
756,0,0,1,-3,-2,1,1
757,0,0,1,-1,0,1,1
758,4,3,1,-1,0,13,0
759,0,1,1,-1,0,1,1
760,0,0,2,-1,1,10,0
761,0,0,1,-1,0,5,1
762,1,1,2,-1,1,7,1
763,0,2,1,-1,0,4,1
764,0,2,1,-1,0,12,1
765,0,3,2,-1,1,4,0
766,0,1,3,-1,2,7,1
767,1,1,3,-1,2,8,1
768,0,2,3,-1,2,9,1
769,0,2,1,-1,0,6,1
770,0,0,3,-1,2,1,1
771,2,1,1,-2,-1,10,1
772,3,1,2,-1,1,5,1
773,0,1,1,-1,0,8,1
774,1,1,2,-1,1,8,1
775,0,0,1,-1,0,0,1
776,0,2,2,-2,0,10,1
777,0,2,1,-1,0,5,1
778,2,2,2,-3,-1,13,0
779,0,3,1,-4,-3,7,0
780,0,1,1,-1,0,6,0
781,1,2,1,-2,-1,9,1
782,1,0,1,-1,0,4,1
783,0,1,1,-1,0,7,0
784,0,0,1,-1,0,2,1
785,0,0,1,-1,0,2,1
786,1,0,1,-3,-2,6,0
787,0,1,1,-1,0,6,0
788,0,1,1,-1,0,2,1
789,1,0,2,-1,1,1,1
790,1,1,1,-1,0,11,1
791,3,3,1,-4,-3,12,1
792,1,2,1,-1,0,8,0
793,0,1,1,-4,-3,11,0
794,0,1,1,-1,0,1,0
795,1,0,2,-1,1,4,1
796,0,1,1,-3,-2,7,0
797,2,3,2,-2,0,6,1
798,1,1,1,-1,0,7,0
